COLUMN,DESCRIPTION,TYPE,LENGTH,DECIML,RANGEVAL,UNITS,CODE,NOTES,TBLNAME,CRFNAME
ST80SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightChoroidPlexus,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST81CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightCorpusCallosum,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST81SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightCorpusCallosum,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST81TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightCorpusCallosum,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST81TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightCorpusCallosum,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST82CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightCuneus,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST82SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightCuneus,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST82TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightCuneus,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST82TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightCuneus,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST83CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightEntorhinal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST83SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightEntorhinal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST83TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightEntorhinal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST83TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightEntorhinal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST84CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightFrontalPole,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST84SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightFrontalPole,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST84TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightFrontalPole,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST84TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightFrontalPole,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST85CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightFusiform,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST85SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightFusiform,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST85TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightFusiform,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST85TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightFusiform,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST86SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightHemisphere,N,16,2,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST87CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightHemisphereWM,N,10,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST88SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightHippocampus,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST89SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightInferiorLateralVentricle,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST8SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of FifthVentricle,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST90CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightInferiorParietal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST90SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightInferiorParietal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST90TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightInferiorParietal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST90TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightInferiorParietal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST91CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightInferiorTemporal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST91SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightInferiorTemporal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST91TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightInferiorTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST91TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightInferiorTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST92SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightInterior,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST93CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightIsthmusCingulate,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST93SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightIsthmusCingulate,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST93TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightIsthmusCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST93TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightIsthmusCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST94CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightLateralOccipital,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST94SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightLateralOccipital,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST94TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightLateralOccipital,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST94TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightLateralOccipital,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST95CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightLateralOrbitofrontal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST95SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightLateralOrbitofrontal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST95TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightLateralOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST95TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightLateralOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST96SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightLateralVentricle,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST97CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightLingual,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST97SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightLingual,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST97TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightLingual,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST97TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightLingual,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST98CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightMedialOrbitofrontal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST98SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightMedialOrbitofrontal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST98TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightMedialOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST98TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightMedialOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST99CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightMiddleTemporal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST99SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightMiddleTemporal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST99TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightMiddleTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST99TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightMiddleTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST9SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of FourthVentricle,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
RID_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Participant roster ID,T,,,,,,The 4 digit roster ID (RID) should be used to merge data,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
VISCODE_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Visit code,T,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
EXAMDATE_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,The scan date for the image processed,D,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
VERSION_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,,D,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
FLDSTRENG_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,The field strength. 1.5 or 3,D,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
LONISID_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,The LONI study UID for the image processed,T,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
LONIUID_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,The LONI series UID for the image processed.,T,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
IMAGEUID_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,The ImageUID for the image processed.,T,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
RUNDATE_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,,D,,,,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
STATUS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,,T,,,complete/partial,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
OVERALLQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,An overall quality rating. Refer to additional QC variables for Partial rating.,T,,,,,Pass/Fail/Partial,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
TEMPQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of temporal lobe. Fail affects the following regions: LeftTemporalPole (ST60); RightTempor,T,,,,,Pass/Fail,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
FRONTQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of the frontal lobe. Fail affects the following regions: LeftFrontalPole (ST25); RightFron,T,,,,,Pass/Fail,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
PARQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of the parietal lobe. Fail affects the following regions: LeftPostcentral (ST49); RightPos,T,,,,,Pass/Fail,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
INSULAQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of the insula. Fail affects the following regions: LeftInsula (ST129); RightInsula (ST130),T,,,,,Pass/Fail,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
OCCQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of the occipital lobe. Fail affects the following regions: LeftLingual (ST38); RightLingua,T,,,,,Pass/Fail,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
BGQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of the basal ganglia. Fail affects the following regions: LeftPutamen (ST53); RightPutamen,T,,,,,Pass/Fail,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
CWMQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of the cerebral WM. Fail affects the following regions: LeftCerebralWM (ST20); RightCerebr,T,,,,,Pass/Fail,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
VENTQC_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,QC rating of the ventricles. Fail affects the following regions: LeftLateralVentricle (ST37); RightL,T,,,Pass/Fail,,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST100SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (WM Parcellation) of RightNonWMHypoIntensities,N,8,1,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST101SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (WM Parcellation) of RightPallidum,N,8,1,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightParacentral,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightParacentral,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightParacentral,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST102TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightParacentral,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightParahippocampal,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST103SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightParahippocampal,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightParahippocampal,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST103TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightParahippocampal,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightParsOpercularis,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightParsOpercularis,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightParsOpercularis,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST104TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightParsOpercularis,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST105CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightParsOrbitalis,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST105SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightParsOrbitalis,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST105TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightParsOrbitalis,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST105TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightParsOrbitalis,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST106CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightParsTriangularis,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST106SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightParsTriangularis,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST106TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightParsTriangularis,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST106TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightParsTriangularis,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightPericalcarine,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST107SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightPericalcarine,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightPericalcarine,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST107TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightPericalcarine,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightPostcentral,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightPostcentral,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightPostcentral,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST108TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightPostcentral,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST109CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightPosteriorCingulate,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST109SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightPosteriorCingulate,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST109TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightPosteriorCingulate,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST109TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightPosteriorCingulate,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of Icv,N,15,8,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightPrecentral,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightPrecentral,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightPrecentral,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST110TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightPrecentral,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightPrecuneus,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightPrecuneus,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightPrecuneus,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST111TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Standard Deviation of RightPrecuneus,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST112SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (WM Parcellation) of RightPutamen,N,8,1,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Volume (Cortical Parcellation) of RightRostralAnteriorCingulate,N,5,0,,mm3,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Surface Area of RightRostralAnteriorCingulate,N,5,0,,mm2,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Cortical Thickness Average of RightRostralAnteriorCingulate,N,4,3,,mm,,,UCSFFSX,Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)
